global_schedule_index,segment,scenario_id,realisation,source_key_hex,arm,mean_loss_2000,adaptation_apw_total,construction_apw_total,prediction_time_ns_total,state_snapshot_bytes,provenance_event_bytes,provenance_event_count,total_apw,process_cpu_ns_total,elapsed_ns_total,process_cpu_seconds,elapsed_seconds,prediction_ns_per_prediction,peak_rss_bytes,peak_rss_mib,state_snapshot_mib,provenance_mib
117,R4,LOCAL_TREE-ABRUPT-SEVERE,37,20690295d5d79cba,PERSIST,0.22925,65312520.0,0.0,1345539.5,1890720.0,199552699.0,322416.0,65312520.0,10811192500.0,10300003177.5,10.8111925,10.3000031775,672.76975,324814848.0,309.767578125,1.803131103515625,190.30828380584717
117,R4,LOCAL_TREE-ABRUPT-SEVERE,37,20690295d5d79cba,POPULATION-RESEED,0.20725,65312520.0,1762.0,1290413.0,4144663.5,294948548.5,408580.0,65314282.0,12311039500.0,11745634499.5,12.3110395,11.7456344995,645.2065,346107904.0,330.07421875,3.9526591300964355,281.2848553657532
118,R4,LOCAL_TREE-ABRUPT-SEVERE,38,8e562bc8e8e687e4,CHAMPION-RESEED,0.23125,65312520.0,14.0,1304175.5,2831743.0,231507799.0,332846.0,65312534.0,11076929000.0,10550554349.0,11.076929,10.550554349,652.08775,322451456.0,307.513671875,2.7005605697631836,220.78304195404053
118,R4,LOCAL_TREE-ABRUPT-SEVERE,38,8e562bc8e8e687e4,PERSIST,0.23299999999999998,65312520.0,0.0,1372998.5,2660925.0,196523269.0,318389.0,65312520.0,10915069500.0,10294371155.0,10.9150695,10.294371155,686.49925,310214656.0,295.84375,2.537655830383301,187.41919422149658
118,R4,LOCAL_TREE-ABRUPT-SEVERE,38,8e562bc8e8e687e4,POPULATION-RESEED,0.23025,65312520.0,2045.0,1245404.5,2890706.0,248343354.0,347746.5,65314565.0,11405988000.0,10844236200.5,11.405988,10.8442362005,622.70225,338266112.0,322.595703125,2.7567920684814453,236.83867835998535
119,R4,LOCAL_TREE-ABRUPT-SEVERE,39,c8efce8cf24c15a5,CHAMPION-RESEED,0.23825000000000002,65312520.0,12.0,1172817.0,3251190.0,268043229.0,383607.5,65312532.0,11604099000.0,11069139445.0,11.604099,11.069139445,586.4085,371789824.0,354.56640625,3.100576400756836,255.62594318389893
119,R4,LOCAL_TREE-ABRUPT-SEVERE,39,c8efce8cf24c15a5,PERSIST,0.20750000000000002,65312520.0,0.0,1209768.0,3863350.0,249040551.0,391458.0,65312520.0,12246738000.0,11458627027.0,12.246738,11.458627027,604.884,359018496.0,342.38671875,3.684377670288086,237.50357723236084
119,R4,LOCAL_TREE-ABRUPT-SEVERE,39,c8efce8cf24c15a5,POPULATION-RESEED,0.23825000000000002,65312520.0,1779.0,1117177.5,2216550.5,218804767.0,309849.5,65314299.0,10587204500.0,10098417795.0,10.5872045,10.098417795,558.58875,381964288.0,364.26953125,2.1138672828674316,208.6684865951538
120,R4,LOCAL_TREE-ABRUPT-SEVERE,40,4a58b38fec93f43f,CHAMPION-RESEED,0.1895,65312520.0,8.0,1229115.5,2247241.5,242331454.0,350467.5,65312528.0,11272744500.0,10771909141.5,11.2727445,10.7719091415,614.55775,321433600.0,306.54296875,2.143136501312256,231.10528373718262
120,R4,LOCAL_TREE-ABRUPT-SEVERE,40,4a58b38fec93f43f,PERSIST,0.183,65312520.0,0.0,1287106.0,2037042.0,168157776.0,274128.0,65312520.0,10098326000.0,9594902248.5,10.098326,9.5949022485,643.553,310409216.0,296.029296875,1.9426746368408203,160.3677520751953
120,R4,LOCAL_TREE-ABRUPT-SEVERE,40,4a58b38fec93f43f,POPULATION-RESEED,0.19175,65312520.0,1226.0,1192497.0,1662801.0,186562335.5,269335.0,65313746.0,9891345000.0,9506803919.0,9.891345,9.506803919,596.2485,331337728.0,315.98828125,1.585770606994629,177.91970777511597
121,R4,LOCAL_TREE-ABRUPT-SEVERE,41,46a332c7662cc27c,CHAMPION-RESEED,0.24975000000000003,65312520.0,13.0,1224309.5,3306141.0,268662734.0,383901.0,65312533.0,11933278500.0,11329663436.5,11.9332785,11.3296634365,612.15475,318451712.0,303.69921875,3.152981758117676,256.2167491912842
121,R4,LOCAL_TREE-ABRUPT-SEVERE,41,46a332c7662cc27c,PERSIST,0.24725,65312520.0,0.0,1347179.0,3028671.5,225816075.0,361372.0,65312520.0,11646356500.0,10984551972.0,11.6463565,10.984551972,673.5895,302254080.0,288.251953125,2.888366222381592,215.35499095916748
121,R4,LOCAL_TREE-ABRUPT-SEVERE,41,46a332c7662cc27c,POPULATION-RESEED,0.258,65312520.0,1953.0,1198935.5,3044721.5,261165423.5,365079.5,65314473.0,11765446500.0,11137882973.5,11.7654465,11.1378829735,599.46775,329881600.0,314.599609375,2.903672695159912,249.06675672531128
122,R4,LOCAL_TREE-ABRUPT-SEVERE,42,24b88b41c4738945,CHAMPION-RESEED,0.20750000000000002,65312520.0,13.0,1358189.0,2696487.0,253154551.5,363395.0,65312533.0,11635907000.0,10933953523.0,11.635907,10.933953523,679.0945,336887808.0,321.28125,2.57157039642334,241.4269938468933
